universo,bloco_tematico,territorio,tipo_territorio,valor_real_jun2026,valor_total_bloco_real_jun2026,participacao_total_bloco_pct,classe_mapa
Contratações,Biocombustíveis,AC,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,AL,UF,118199932.345704,1772546659.81514,6.668367892669813,>5–10%
Contratações,Biocombustíveis,AM,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,AP,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,BA,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,CE,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,DF,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,ES,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,GO,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,MA,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,MG,UF,113929823.098706,1772546659.81514,6.427465390986537,>5–10%
Contratações,Biocombustíveis,MS,UF,69188708.489945,1772546659.81514,3.9033504763796025,>1–5%
Contratações,Biocombustíveis,MT,UF,178294325.663455,1772546659.81514,10.05865344509743,>10–20%
Contratações,Biocombustíveis,PA,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,PB,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,PE,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,PI,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,PR,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,RJ,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,RN,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,RO,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,RR,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,RS,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,SC,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,SE,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,SP,UF,1131633789.611624,1772546659.81514,63.8422567521942,>20%
Contratações,Biocombustíveis,TO,UF,0.0,1772546659.81514,0.0,0%
Contratações,Biocombustíveis,Sem identificação territorial,Residual,161300080.605706,1772546659.81514,9.099906042672416,>5–10%
Contratações,Clima e descarbonização,AC,UF,0.0,19999511848.493736,0.0,0%
Contratações,Clima e descarbonização,AL,UF,31398417.546418,19999511848.493736,0.15699591962182205,>0–1%
Contratações,Clima e descarbonização,AM,UF,542926504.034685,19999511848.493736,2.714698779388336,>1–5%
Contratações,Clima e descarbonização,AP,UF,0.0,19999511848.493736,0.0,0%
Contratações,Clima e descarbonização,BA,UF,608033345.465636,19999511848.493736,3.040240932237704,>1–5%
Contratações,Clima e descarbonização,CE,UF,595819657.902587,19999511848.493736,2.979171003853583,>1–5%
Contratações,Clima e descarbonização,DF,UF,7758119.348059,19999511848.493736,0.03879154354781566,>0–1%
Contratações,Clima e descarbonização,ES,UF,15295394.235866,19999511848.493736,0.07647883784232451,>0–1%
Contratações,Clima e descarbonização,GO,UF,901497936.83796,19999511848.493736,4.507599703769052,>1–5%
Contratações,Clima e descarbonização,MA,UF,156082748.346466,19999511848.493736,0.7804327902044338,>0–1%
Contratações,Clima e descarbonização,MG,UF,2612700526.699683,19999511848.493736,13.063821489705305,>10–20%
Contratações,Clima e descarbonização,MS,UF,84460086.658052,19999511848.493736,0.4223107408714734,>0–1%
Contratações,Clima e descarbonização,MT,UF,1773211604.347627,19999511848.493736,8.866274425998936,>5–10%
Contratações,Clima e descarbonização,PA,UF,331467296.425106,19999511848.493736,1.6573769346778855,>1–5%
Contratações,Clima e descarbonização,PB,UF,0.0,19999511848.493736,0.0,0%
Contratações,Clima e descarbonização,PE,UF,114817848.798284,19999511848.493736,0.5741032564598896,>0–1%
Contratações,Clima e descarbonização,PI,UF,156727144.380529,19999511848.493736,0.783654849017392,>0–1%
Contratações,Clima e descarbonização,PR,UF,1499721727.669169,19999511848.493736,7.4987916656681834,>5–10%
Contratações,Clima e descarbonização,RJ,UF,355379616.403362,19999511848.493736,1.7769414528491476,>1–5%
Contratações,Clima e descarbonização,RN,UF,1245507584.055042,19999511848.493736,6.227689923086035,>5–10%
Contratações,Clima e descarbonização,RO,UF,53171963.55192,19999511848.493736,0.2658663069115092,>0–1%
Contratações,Clima e descarbonização,RR,UF,0.0,19999511848.493736,0.0,0%
Contratações,Clima e descarbonização,RS,UF,564467612.355023,19999511848.493736,2.822406949885309,>1–5%
Contratações,Clima e descarbonização,SC,UF,474878517.661526,19999511848.493736,2.3744505428880833,>1–5%
Contratações,Clima e descarbonização,SE,UF,0.0,19999511848.493736,0.0,0%
Contratações,Clima e descarbonização,SP,UF,4864968743.506244,19999511848.493736,24.325437442477625,>20%
Contratações,Clima e descarbonização,TO,UF,0.0,19999511848.493736,0.0,0%
Contratações,Clima e descarbonização,Sem identificação territorial,Residual,3009219452.264491,19999511848.493736,15.046464509038158,>10–20%
Contratações,Energia e eficiência,AC,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,AL,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,AM,UF,20928213.844717,3937733591.151132,0.5314786630499038,>0–1%
Contratações,Energia e eficiência,AP,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,BA,UF,7268121.228661,3937733591.151132,0.18457625586946536,>0–1%
Contratações,Energia e eficiência,CE,UF,360790.123049,3937733591.151132,0.009162380204180571,>0–1%
