universo,uf,valor_real,total_fundo,participacao_pct,media_anual_milhoes,classe,residual_pct
Contratações,AL,31398417.546417855,19999511848.493725,0.15699591962182138,2.4152628881859886,1,15.046464509038143
Contratações,AM,542926504.0346816,19999511848.493725,2.71469877938832,41.76357723343705,2,15.046464509038143
Contratações,BA,608033345.4656359,19999511848.493725,3.040240932237705,46.77179580504891,2,15.046464509038143
Contratações,CE,595819657.9025874,19999511848.493725,2.979171003853586,45.832281377122115,2,15.046464509038143
Contratações,DF,7758119.348058648,19999511848.493725,0.038791543547813924,0.5967784113891268,1,15.046464509038143
Contratações,ES,15295394.23586659,19999511848.493725,0.0764788378423275,1.176568787374353,1,15.046464509038143
Contratações,GO,901497936.8379577,19999511848.493725,4.507599703769043,69.34599514138137,2,15.046464509038143
Contratações,MA,156082748.34646636,19999511848.493725,0.7804327902044361,12.006365257420489,1,15.046464509038143
Contratações,MG,2612700526.699684,19999511848.493725,13.063821489705315,200.9769635922834,4,15.046464509038143
Contratações,MS,84460086.65805127,19999511848.493725,0.42231074087146997,6.49692974292702,1,15.046464509038143
Contratações,MT,1773211604.3476262,19999511848.493725,8.866274425998936,136.4008926421251,3,15.046464509038143
Contratações,PA,331467296.4251041,19999511848.493725,1.6573769346778768,25.497484340392624,2,15.046464509038143
Contratações,PE,114817848.79828387,19999511848.493725,0.5741032564598892,8.832142215252606,1,15.046464509038143
Contratações,PI,156727144.38052896,19999511848.493725,0.7836548490173921,12.05593418311761,1,15.046464509038143
Contratações,PR,1499721727.6691704,19999511848.493725,7.498791665668193,115.3632098207054,3,15.046464509038143
Contratações,RJ,355379616.4033625,19999511848.493725,1.7769414528491512,27.336893569489423,2,15.046464509038143
Contratações,RN,1245507584.0550425,19999511848.493725,6.227689923086041,95.80827569654173,3,15.046464509038143
Contratações,RO,53171963.55191943,19999511848.493725,0.2658663069115065,4.090151042455341,1,15.046464509038143
Contratações,RS,564467612.355024,19999511848.493725,2.8224069498853153,43.42058556577107,2,15.046464509038143
Contratações,SC,474878517.6615261,19999511848.493725,2.3744505428880847,36.529116743194315,2,15.046464509038143
Contratações,SP,4864968743.506243,19999511848.493725,24.325437442477632,374.2283648850956,5,15.046464509038143
Desembolsos,AL,23784649.476960678,10591006178.361387,0.22457403079940963,1.8295884213046676,1,28.298089022110627
Desembolsos,AM,532891364.3118709,10591006178.361387,5.031546156593013,40.99164340860545,3,28.298089022110627
Desembolsos,BA,17821201.663686324,10591006178.361387,0.16826731439451934,1.3708616664374096,1,28.298089022110627
Desembolsos,CE,1107195.7208374187,10591006178.361387,0.010454112689496335,0.08516890160287836,1,28.298089022110627
Desembolsos,DF,7744572.927696338,10591006178.361387,0.07312405259020024,0.5957363790535645,1,28.298089022110627
Desembolsos,ES,15197892.044854166,10591006178.361387,0.1434980944105685,1.1690686188349357,1,28.298089022110627
Desembolsos,GO,76120974.08074488,10591006178.361387,0.7187322224045961,5.855459544672683,1,28.298089022110627
Desembolsos,MA,244387.7103305313,10591006178.361387,0.002307502292179215,0.0187990546408101,1,28.298089022110627
Desembolsos,MG,1230607087.7787838,10591006178.361387,11.61935954954924,94.66208367529106,4,28.298089022110627
Desembolsos,MS,48163871.176728554,10591006178.361387,0.45476199678867846,3.704913167440658,1,28.298089022110627
Desembolsos,MT,868004731.1898522,10591006178.361387,8.195677696452327,66.76959470691172,3,28.298089022110627
Desembolsos,PA,230868521.45567685,10591006178.361387,2.179854468665755,17.759117035052064,2,28.298089022110627
Desembolsos,PE,24832816.876973625,10591006178.361387,0.23447079964611725,1.910216682844125,1,28.298089022110627
Desembolsos,PI,435020.5291679043,10591006178.361387,0.004107452321732188,0.03346311762830033,1,28.298089022110627
Desembolsos,PR,661476210.9009349,10591006178.361387,6.245640874541316,50.88278545391807,3,28.298089022110627
Desembolsos,RJ,311467885.9396411,10591006178.361387,2.9408715347178713,23.959068149203162,2,28.298089022110627
Desembolsos,RN,224769044.2359176,10591006178.361387,2.1222633662054315,17.28992647968597,2,28.298089022110627
Desembolsos,RO,7713042.318722914,10591006178.361387,0.07282634141486505,0.5933109475940703,1,28.298089022110627
Desembolsos,RS,534217251.4968142,10591006178.361387,5.044065148297996,41.093634730524165,3,28.298089022110627
Desembolsos,SC,203263075.40076718,10591006178.361387,1.9192045777110054,15.635621184674399,2,28.298089022110627
Desembolsos,SP,2573223024.4344826,10591006178.361387,24.29630368540305,197.94023264880636,5,28.298089022110627
